Order,min_wav [Angstroms],max_wav [Angstroms]
50,9319,9418
51,9052,9233
52,8878,9056
53,8710,8885
54,8549,8720
55,8393,8561
56,8243,8408
57,8098,8261
58,7959,8118
59,7824,7981
60,7693,7848
61,7567,7719
62,7445,7594
63,7326,7474
64,7212,7357
65,7101,7243
66,6993,7134
67,6888,7027
68,6787,6924
69,6688,6823
70,6593,6725
71,6500,6631
72,6409,6538
73,6321,6449
74,6236,6361
75,6152,6276
76,6071,6194
77,5992,6113
78,5915,6035
79,5840,5958
80,5767,5883
81,5696,5810
82,5627,5739
83,5559,5670
84,5493,5602
85,5428,5536
86,5365,5472
87,5304,5409
88,5244,5347
89,5185,5287
90,5127,5228
91,5071,5170
92,5016,5113
93,4962,5058
94,4909,5004
95,4858,4951
96,4807,4899
97,4758,4848
98,4709,4799
99,4662,4750
100,4615,4702
101,4570,4655
102,4525,4609
103,4481,4564
104,4438,4520
105,4396,4476
106,4355,4433
107,4314,4391
108,4274,4350
109,4235,4309
110,4196,4269
111,4159,4230
112,4122,4191
113,4085,4153
114,4049,4115
115,4014,4079
116,3981,4042
117,3948,4007
118,3916,3971
119,3898,3934
